8710002700000   koffie 250 gram     	4.98
8710002002733	koffie 500 gram     	9.69
8712001063869	thee   100 gram     	2.15
8712001171560	thee 20 x 4 gram    	2.09
8710370002169	volle  melk 1 liter 	1.39
8710370836550	volle  melk 1/2 l.  	0.84
8710370006800	halfv. melk 1 liter 	1.29
8710370094160	halfv. melk 1/2 l.  	0.79
8710370807131	magere melk 1 liter 	1.19
8710370015794	magere melk 1/2 l.  	0.74
8719256482004	vanillevla 1 liter  	1.59
8710180350857	pindakaas  300 g    	1.69
8712620006980	hagelslag melk 400g 	3.95
8712627630000	hagelslag puur 400g 	3.95
8710036700000	jam aardbeien  250g 	2.35
8710036000300	jam abrikozen  250g 	2.35
8710036090077	jam bessen     250g 	2.35
5404574673943	Eng. marmelade 287g 	3.85
8712407409074	suiker 1 kg.        	2.30
8710072620119	coffee creamer 400g 	2.79
8711028634930	doperwten extra fijn	2.13
8713200798346	gekookte worteltjes 	1.98
8710206064433	sperciebonen (blik) 	1.79
8710206000077	snijbonen (blik)    	1.79
8715019000002	ananas blik 325 g   	3.69
8713887088062	tomatenpuree 30 g   	0.79
8719138000002	macaroni 400 g      	1.85
8717000200773	snelkookrijst 400g  	1.39
8717746582255	appelsap       1 l  	1.99
8715837000031	sinaasappelsap 1 l  	3.25
8713000005700	bier 0.33 l         	0.72
8713000706367	bier 0.5 l          	1.02
8713000000040	bier 20 x 0.5 l     	18.95
8713000297770	bier 24 x 0.33 l    	16.95
7645743070077	amontillado 0.7 l   	3.95
7640090070603	sherry  0.7 l       	5.95
3527403479030	cote du soleil 0.7l 	6.95
3527671790057	chateau migraine 1l 	3.95
3527671846900	chateau migraine 6l 	19.75
8710016410650	waspoeder   6 kg    	8.93
8710004327000	afwasmiddel 1 l.    	2.17
8710007550318	afwasborstel        	1.89
8710044830000	boterhamzakjes 100x 	1.68
8713600300000	vuilniszakken 20 x  	3.89
8712370521359	tandenborstel       	2.49
8710403754990	zeep 3 stuks        	4.57
8710018000006	tandpasta m. fluor  	1.29
